Stachel	Ort	Ortgeber, Kategorie	BildName	Zitat	Eckpunkte_yxmin_yx_max	png_name	angle_deg	numPoints
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	Die Enkel haben dort Freundschaften geschlossen				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	Ein Aufenthalt war ca. 3 Stunden, am Wochenende der ganze Nachmittag				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	genug Platz für alle				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	mit Enkeln				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	Nutzung 1988 -2006				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	Rückzugsgebiet mit ganzen Familien				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	seit 2002 verkommen oder 2006?				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	viel Stammpublikum, Nachbarschaft				
	Plansche Weydemeyerstr		DieterJacob_DSC05194.jpg	wir brachten Decken mit oder Luftmatrazen				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Andere Kinder nerven				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Ärgerlich: die kleineren Kinder nerven, denn sie ziehen den Abflussstopp immer heraus, sodaß das Wasser sich nicht stauen kann				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Es gibt schöne Bänke.				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Es ist ein bisschen frischer hier				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Es ist langweilig, es gibt ja nur das Wasser				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Es waren leider wenig Bäume in der Nähe				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Friedlich, viele Bäume				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Ist vielleicht interessanter für kleinere Kinder				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Leider kann man hier sonst nicht soviel machen, ist ein Problem, dass so viele alte Leute hier wohnen.				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Schön grün und ruhig				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Tolle Dusche, das war so ein Peitschendings … so ein Riesenarm. War ein Metallbogen, aus dem das Wasser auf die Kinder niederregnete, höher als heute				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Traurig - wenn kleine Kinder hinfallen, dann oft auf den Kopf				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	viele Kinder				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Wasser ist in 15 Minuten Intervallen an, dann 10 min Pause.				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Wir gehen nur hin wenn es heiss ist mit der Klasse				
7	Plansche Singerstrasse	Qualität	DSC00512.JPG	Wir mögen das Wasser				
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	“Andere Kinder nerven”		st007_Blob30.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	“Der Ort war für kleine Kinder gemacht”, aber wir nutzten ihn später bei schönem Wetter zum “Treffen, Spielen, Flirten, Knutschen.		st007_Blob03.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Es ist ein bisschen frischer hier		st007_Blob21.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Es ist langweilig, es gibt ja nur das Wasser		st007_Blob20.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Es waren leider wenig Bäume in der Nähe		st007_Blob18.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Ist vielleicht interessanter für kleinere Kinder		st007_Blob32.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Man hat sich getroffen		st007_Blob28.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Nutze selbst auch manchmal die Wasserspiele zum erfrischen		st007_Blob09.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Schön grün und ruhig		st007_Blob30.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wir spielen "Schwimmbulle” - wer am längsten im flachen Wasser tauchen kann		st007_Blob25.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Tolle Dusche, das war so ein Peitschendings … so ein Riesenarm. War ein Metallbogen, aus dem das Wasser auf die Kinder niederregnete, höher als heute		st007_Blob08.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Traurig - wenn kleine Kinder hinfallen, dann oft auf den Kopf		st007_Blob12.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Ärgerlich: “die kleineren Kinder nerven, denn sie ziehen den Abflussstopp immer heraus, sodaß das Wasser sich nicht stauen kann”		st007_Blob02.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Atmo: “Lustig”		st007_Blob41.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Die Aufregung um Keime ist übertrieben.		st007_Blob16.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Die Ernst Wildnagel Schule hatte eine erweiterte Russischbildung, es waren einige priviligierte Kinder (Nomenklatura) aber auch Kinder aus der Umgebung (wie ich)		st007_Blob05.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Die Schule (Ernst Wildangel Schule) hat uns dort während des Unterrichts nicht hingehen lassen, (hatte Aufsichtspflicht) aber irgendwann fanden wir Wege, uns doch dorthin zu schleichen.		st007_Blob11.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Es gibt schöne Bänke.		st007_Blob34.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Friedlich, viele Bäume		st007_Blob33.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Hier sind sonst auch öfter junge Familien		st007_Blob14.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Jahrelang ein Kampf um den Erhalt der Plansche (wie in der Weydemeyerstrasse).		st007_Blob04.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Leider kann man hier sonst nicht soviel machen, ist ein Problem, dass so viele alte Leute hier wohnen.		st007_Blob01.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Manchmal treffe ich andere Hundehalter ( Nachbarn)		st007_Blob15.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wir mögen das Wasser		st007_Blob27.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Nutzung 1964 - 1972, jeden Tag bei schönem Wetter		st007_Blob24.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Nutzung seit 2016, zwei bis drei Stunden, bis die Sonne untergeht		st007_Blob13.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Ober- und unterhalb der KMA jeweils eigene Nachbarschaften.		st007_Blob10.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	DIe Plansche war unser Ort		st007_Blob23.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wir spielen Federball, Fußball, Wasserschlachten		st007_Blob31.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Spielen, Treffen		st007_Blob37.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wir gehen nur hin wenn es heiss ist mit der Klasse		st007_Blob22.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Verabredung oft über Telefon.		st007_Blob19.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	viele Kinder		st007_Blob40.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wasser ist in 15 Minuten Intervallen an, dann 10 min Pause.		st007_Blob07.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wasser lief ab, blieb aber ca 20 cm hoch stehen.		st007_Blob35.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	wasserbombenschlacht		st007_Blob26.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	wenn es heiss ist		st007_Blob36.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wir spielen zu zweit Tischtennis.		st007_Blob17.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Wir wohnen alle in der Nähe, gehen zur “Gutmunds Grundschule”		st007_Blob06.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Nutzer*innen		st007_Blob38.png		
7	Plansche Singerstrasse	AlleZitate	DSC00513.JPG	Plansche Singerstrasse		st007_Blob39.png		
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Es gibt ja nur das Wasser”				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Es ist ein bisschen frischer hier”.				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Es ist langweilig”				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Ich sitze ein bisschen ca. 5-10 Minuten				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Ist vielleicht interessanter für kleinere Kinder”				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Nutze selbst auch manchmal die Wasserspiele zum erfrischen.”				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	“Schön grün und ruhig”				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Es gibt schöne Bänke.				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Friedlich, viele Bäume				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Geht mit dem Hund dort spazieren setzt sich ggf, auch kurz hin. Trifft Leute mit anderen Hunden.				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Geist Nachbarschaft/Schule				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Manchmal treffe ich andere Hundehalter ( Nachbarn)				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Morgens gegen 10:00 Abends gegen 21:00				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	seit ca 3 Jahren (2016) , fast jeden Tag				
7	Plansche Singerstrasse	ElenaNakova	ElenaNakova_DSC05224.jpg	Tochter Jana: “gehen nur hin wenn es heiss ist mit der Klasse.				
7	Plansche Singerstrasse	ElenaNakova	FabianAileen_DSC05217.jpg	ca 2-3 h bis die Sonne untergeht				
7	Plansche Singerstrasse	Fabian und Aileen	DSC03687.JPG	Hier sind sonst auch öfter junge Familien				
7	Plansche Singerstrasse	Fabian und Aileen	DSC03687.JPG	Leider kann man hier sonst nicht soviel machen, ist ein Problem, dass so viele alte Leute hier wohnen.				
7	Plansche Singerstrasse	Fabian und Aileen	DSC03687.JPG	Nutzung seit 2016, ca zwei bis drei Stunden bis die Sonne untergeht				
7	Plansche Singerstrasse	Fabian und Aileen	DSC03687.JPG	Wir spielen zu zweit Tischtennis.				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Kinder haben viel Spaß, man kann sie laufen lassen und sich unterhalten, man muss sich keine Sorgen machen				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Nachbarn sind nett, aber alleinstehende Nachbarn sind evtl neidisch auf Kinder				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Aus dem West-Teil hergezogen				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Die Geräte sind noch so neu und unabgenutzt				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	mit drei Kindern im Alter von eins bis sechs Jahren				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Nutzung seit ca 2018, zwei bis dreimal wöchentlich				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Wir versuchen, Freunde zum Nachzug zu motivieren				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Vor einem Jahr zufällig entdeckt				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Wenn es Schnee gäbe, auch im Winter				
	Plansche Weydemeyerstr	Familie Stern	DSC03424.JPG	Zum ersten Mal im Osten wohnend				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	wir brachten Decken mit oder Luftmatrazen				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	ältere Bewohner weggezogen				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	genug Platz für alle				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	Seit 2002 verkommen, oder 2006?				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	Im Vergleich zur Plansche Singerstr Hat sich nicht viel verändert. Die Struktur ist geblieben				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	Atmo war entspannt				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	völlig andere Gegend jetzt				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	Vor einem Jahr zufällig entdeckt				
	Plansche Weydemeyerstr	anonym	DSC03681.JPG	Die Enkel haben dort Freundschaften geschlossen				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	“Der Ort war für kleine Kinder gemacht”, aber wir nutzten ihn später bei schönem Wetter zum “Treffen, Spielen, Flirten, Knutschen.				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Die Aufregung um Keime ist übertrieben.				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Die Ernst Wildnagel Schule hatte eine erweiterte Russischbildung, es waren einige priviligierte Kinder (Nomenklatura) aber auch Kinder aus der Umgebung (wie ich)				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Die Schule (Ernst Wildangel Schule) hat uns dort während des Unterrichts nicht hingehen lassen, (hatte Aufsichtspflicht) aber irgendwann fanden wir Wege, uns doch dorthin zu schleichen.				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Jahrelang ein Kampf um den Erhalt der Plansche (wie in der Weydemeyerstrasse).				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Ober- und unterhalb der KMA jeweils eigene Nachbarschaften.				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Plansche “War unser Ort”.				
7	Plansche Singerstrasse	Historisch	Historisch_DSC05235.jpg	Wasser lief ab, blieb aber ca 20 cm hoch stehen.				
7	Plansche Singerstrasse	Meik, Ömer, Erik	DSC03685.JPG	wasserbombenschlacht				
7	Plansche Singerstrasse	Meik, Ömer, Erik	DSC03685.JPG	wenn es heiss ist				
7	Plansche Singerstrasse	Meik, Ömer, Erik	DSC03685.JPG	viele Kinder				
	Plansche Weydemeyerstr	Name	Name_DSC05203.jpg	Anonym				
	Plansche Weydemeyerstr	Name	Name_DSC05203.jpg	Dieter Jacob				
	Plansche Weydemeyerstr	Name	Name_DSC05203.jpg	Familie Stern				
7	Plansche Singerstrasse	Name	Name_DSC05225.jpg	Claudia N.				
7	Plansche Singerstrasse	Name	Name_DSC05225.jpg	Elena Nakova				
7	Plansche Singerstrasse	Name	Name_DSC05225.jpg	Fabian, Aileen				
7	Plansche Singerstrasse	Name	Name_DSC05225.jpg	Meik, Ömer, Erik				
7	Plansche Singerstrasse	Name	Name_DSC05225.jpg	Wurst, Wurst, Ketchup				
	Plansche Weydemeyerstr	Nutzer*innen	Nutzer_DCS05208.jpg	Die Enkel haben dort Freundschaften geschlossen				
	Plansche Weydemeyerstr	Nutzer*innen	Nutzer_DSC05208.jpg	“Nachbarn nett, aber alleinstehende Nachbarn neidisch ev. auf Kinder”				
	Plansche Weydemeyerstr	Nutzer*innen	Nutzer_DSC05208.jpg	deutlich mehr junge Familien				
	Plansche Weydemeyerstr	Nutzer*innen	Nutzer_DSC05208.jpg	mit Enkeln				
	Plansche Weydemeyerstr	Nutzer*innen	Nutzer_DSC05208.jpg	mit Kindern v. 1-6 J.				
	Plansche Weydemeyerstr	Nutzer*innen	Nutzer_DSC05208.jpg	viel Stammpublikum, Nachbarschaft				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Der Ort war für kleine Kinder gemacht, aber wir nutzten ihn später bei schönem Wetter zum Treffen, Spielen, Flirten, Knutschen				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Man hat sich getroffen				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Nutze selbst auch manchmal die Wasserspiele zum erfrischen				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Wir spielen “Schwimmbulle”, wer am längsten im flachen Wasser tauchen kann				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Hier sind sonst auch öfter junge Familien				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Manchmal treffe ich andere Hundehalter ( Nachbarn)				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Wir spielen Federball, Fußball, Wasserschlachten				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Spielen, Treffen				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Verabredung oft über Telefon.				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	wasserbombenschlacht				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	wenn es heiss ist				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Wir spielen zu zweit Tischtennis.				
7	Plansche Singerstrasse	Nutzer*innen	 DSC03694.JPG	Wohnen alle in der Nähe, gehen zur Guthsmuths Grundschule				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	“Nachbarn nett, aber alleinstehende Nachbarn neidisch ev. auf Kinder”				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	2-3 x wöchentlich				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	ältere Bewohner weggezogen, aber schon seit 1980				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Atmo war entspannt				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Aus dem West-Teil hergezogen				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	ca 5 x dort gewesen ca 90 Minuten				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	deutlich mehr junge Familien				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Die Enkel haben dort Freundschaften geschlossen				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Die Geräte sind noch so neu und unabgenutzt				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Die Nichte war so temperamentvoll				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Ein Aufenthalt war ca. 3 Stunden, am Wochenende der ganze Nachmittag				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	genug Platz für alle				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	habe keinen Lieblingsort				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Kinder haben viel Spaß, man kann Kinder laufen lassen und sich unterhalten, man muss sich keine Sorgen machen				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	mir gefällte die Art und Weise, wie das gebaut ist				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	mit Enkeln				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	mit Kindern v. 1-6 J.				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Nutzung seit 1960-1980				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Rückzugsgebiet mit ganzen Familien				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	seit 2002 verkommen oder 2006?				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Sprudelt nur zu bestimmten Zeiten, bei bestimmten Temperaturen				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Struktur ist geblieben				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Vergleich Plansche Singerstr "Hat sich nicht viel verändert"				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	versuchen Freunde zum Nachzug zu motivieren				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	viel Stammpublikum, Nachbarschaft				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	völlig andere Gegend jetzt				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Vor einem Jahr zufällig entdeckt				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	war toll				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	wenns Schnee gäbe auch im Winter				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Weydemeyerstrasse				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	wir brachten Decken mit oder Luftmatrazen				
	Plansche Weydemeyerstr	AlleZitate	PlanscheWeydemeyer_DSC05212.jpg	Zum ersten Mal im Osten wohnend				
	Plansche Weydemeyerstr	Qualität	Qualitaet_DSC05207.jpg	Atmo war entspannt				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	Die Geräte sind noch so neu und unabgenutzt				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	Die Nichte war so temperamentvoll				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	genug Platz für alle				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	Kinder haben viel Spaß, man kann Kinder laufen lassen und sich unterhalten, man muss sich keine Sorgen machen				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	mir gefällte die Art und Weise, wie das gebaut ist				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	Rückzugsgebiet mit ganzen Familien				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	seit 2002 verkommen oder 2006?				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	Sprudelt nur zu bestimmten Zeiten, bei bestimmten Temperaturen				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	war toll				
	Plansche Weydemeyerstr		Qualitaet_DSC05207.jpg	wir brachten Decken mit oder Luftmatrazen				
7	Plansche Singerstrasse		Qualitaet_DSC05238.jpg	“Es gibt ja nur das Wasser”				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	“Andere Kinder nerven”				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	“Schwimmbulle” (am längsten im flachen Wasser “tauchen”)				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	“Traurig - wenn kleine Kinder hinfallen, dann oft auf den Kopf.”				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Ärgerlich: “die kleineren Kinder nerven, denn sie ziehen den Abflussstopp immer heraus, sodaß das Wasser sich nicht stauen kann”				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Atmo: “Lustig”				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	im Sommer fast jeden Tag nach der Schule für 2 Stunden				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Mögen das Wasser				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Nutzung seit 2009				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	spielen Federball, Fußball, Wasserschlachten				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Verabredung oft über Telefon.				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Wasser ist in 15 Minuten Intervallen an, dann 10 min Pause.				
7	Plansche Singerstrasse	WurstWurstKetchup	WurstWurstKetchup_DSC05219.jpg	Wohnen alle in der Nähe, gehen zur “Gutmunds Grundschule”				
	Plansche Weydemeyerstr		Zeit_DSC05205.jpg	2-3 x wöchentlich				
	Plansche Weydemeyerstr		Zeit_DSC05205.jpg	ca 5 x dort gewesen ca 90 Minuten				
